indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1989,840881506.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1988,835601587.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1987,830294805.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1986,825034695.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1985,819874109.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1984,814856984.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1983,809947364.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1982,805247476.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1981,800542417.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1980,795362835.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1979,789862141.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1978,784556247.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1977,779117798.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1976,773619713.0,,,0
